ID,Title,Category,Plot
0,Ghosts of Mars,"""Thriller"",  ""Science Fiction"",  ""Horror"",  ""Adventure"",  ""Supernatural"",  ""Action"",  ""Space western""","Set in the second half of the 22nd century, the film depicts Mars as a planet that has been 84% terraformed, allowing humans to walk on the surface without wearing pressure suits. The Martian society has become largely matriarchal, with women in most positions of authority. The story concerns a police officer, Melanie Ballard , second in command of a small team alongside Sergeant Jericho  sent to pick up and transport a prisoner named Desolation Williams . Arriving at the remote mining town where Williams is being held, Ballard finds virtually all of the people missing. She learns that the miners had discovered an underground doorway created by an ancient Martian civilization. When the door was opened it released ""ghosts,"" disembodied spirits which possessed the miners. Violence ensues, as the possessed miners commit horrific acts of death and destruction, as well as self-mutilation. With their team leader Helena Bradock  murdered, Ballard must fight off the attacking miners, escape the town, and destroy the ghosts, if possible. Unfortunately, her intentions are complicated by the fact that killing a possessed human merely releases the Martian spirit to possess another human. The team eventually decides to blow up a nuclear reactor to try and vaporize all of the ghosts. At several points in the film Sergeant Jericho shows a romantic interest in Ballard, mostly unreciprocated. Ballard's crew along with survivors who manage to gather in the jail are eventually wiped out by the miners after many fierce battles and events , leaving only her and Williams after Sergeant Jericho and the other remaining officers and the two operators of the train are killed upon returning from a brief retreat to finish the fight. Not wanting the authorities to blame the massacre on him, he handcuffs Ballard to her cot and escapes from the train, leaving her to return home and deliver her report, which is received with skepticism by her superiors. While Ballard recuperates at a hospital, the released spirits, who weren't destroyed after all, attack the city. The end scene sets the movie up for a sequel as Williams returns to team up with Ballard to fight the possessed."
1,White Of The Eye,"""Thriller"",  ""Erotic thriller"",  ""Psychological thriller""","A series of murders of rich young women throughout Arizona bear distinctive signatures of a serial killer. Clues lead Detective Charles Mendoza to visit Paul White, a sound expert installing hi-fi systems in wealthy people's homes. His special talent is to make a noise which echoes through the air cavities in his head and shows him where the sound of the speakers should come from and echo in the room. He is married to Joan, whom, ten years earlier, he had seduced away from Mike DeSantos, her then current boyfriend. Joan is questioned by Mendoza, but does not believe his insinuations that her husband is somehow involved in the murders. Various flashbacks show Joan's previous relationship to Mike and later explain how it came to be that he abandoned her. The couple met Paul and befriended him. At Mike's suggestion, he and Mike go on a deer hunting trip together. Paul shoots a deer and brutally mutilates it, demonstrating his sick fascination with killing. This is partly intended to scare Mike off, which it does. Mike catches Joan and Paul after they've made love, and Paul declares that he will take Mike's place. ""I am the one,"" Paul says. Mike puts his gun at the back of Paul's head but decides not to kill and abandons Joan. By now Joan has run into Mike DeSantos working at a gas station in a neighboring town. Mike tells her he got out of prison after suffering a major head injury; he thinks life is looking up. He makes her promise not to tell Paul that she has seen him. Joan soon discovers Paul has committed adultery. By puncturing Paul's tires she provides him with an alibi for the most recent killing. He begs her forgiveness as the police turn their suspicions away from him. At home, Joan looks into a crawl space in the house, and discovers preserved body parts of Paul's victims wrapped in paper and plastic. Joan confronts Paul, and Paul tries to explain his motivations for killing. He believes he has been ""chosen"" and is expressing the nothingness of the universe, whose heart is female and destructive like a black hole. He is putting women ""out of their misery,"" but he loves Joan. Joan's distrust of Mike over the next night and day agitates him into a fury. First, he tries to imprison her and then kill her and his daughter. He heavily arms himself and paints his face to look like a samurai warrior or an Indian brave. Joan and the little girl escape in different directions and soon Joan has to elude Paul in the abandoned quarry. It turns out Mike has been staying there, armed with a machine gun, certain that he will meet Paul again. He rescues Joan and takes away Paul's gun, leading him to the edge of the quarry. Paul makes the sound he uses in the emptiness of living rooms and savors its echo from the quarry. While incessantly pontificating about his philosophies of life and death, Paul reveals a lighter with which he has lit the fuse of his explosive vest. Mike opens fire on him with a machine gun and Joan dives into the lake in the quarry. Paul and Mike both die instantly, in a hail of destruction. Joan is reunited later with her daughter. She talks with Detective Mendoza about what the ten years with Paul could have meant, whose destructive and nihilistic nature she never understood. Based on the 1983 novel Mrs White by Margaret Tracy ."
2,A Woman in Flames,"""Drama""","Eva, an upper class housewife, becomes frustrated and leaves her arrogant husband. She is drawn to the idea of becoming a call girl. With the aid of a prostitute named Yvonne, Eva learns the basics and then they both set out looking for Johns together. She meets a charming man who she falls in love with and comes to his house late at night for a romantic tryst. He turns out to be a gigolo. Consequently, they move into his penthouse, large enough for both of them to offer their services separately. Then slowly Eva enters the world of sado-masochism. She finds being a dominatrix extremely satisfying, and begins to take pleasure in controlling others and causing them intense pain. She discovers this in a scene in which a man is hiding under a table. Eva can see that his hands are sticking out from under the table and are clearly visible. Coldly, and with intense inner satisfaction, Eva proceeds to crush the man's hands by slowly walking over them with her stiletto-heeled boots. Chris, the gigolo begins getting jealous of her, wants to know what's going on upstairs and why she's making so much money. She tells him it's from hurting men, and the more she hurts them, the more money she gets. This upsets him greatly. She also becomes jealous of his boyfriend/client, a man who's been coming to him for many years. The scenes in the upstairs room intensify. One day he sneaks up and observers her in a scene dominating a man tied to a chair. He has a look on his face like ""see, this is what you truly are,"" and the look on her face says proudly ""yes, this is what I truly am."" He tries to whisk her away from all of it, buying her furs, talking about marriage. She tells him that she's been dreaming about hitting him, and in the dream he likes it. The setting is all there for a romantic ending, and yet, he panics, he takes all their money and invests it in a restaurant that she doesn't want to be part of. She tries to walk out on him, and he gets angry, throws her against the wall, hits her, pours alcohol on her, and lights her on fire. But the last scene shows her unscathed, happy with her friend the sex worker/madame, and they're getting thrown out of a bar that Chris owns. The movie thus extols female independence from men, though in its ending stops short of endorsing a female-dominant/male-submissive romance."
3,The Sorcerer's Apprentice,"""Family Film"",  ""Fantasy"",  ""Adventure"",  ""World cinema""","Every hundred years, the evil Morgana  returns to claim Fingall's talisman from the wizard Merlin, with which she intends to destroy the world. For the last fourteen hundred years she has failed... now she intends to conquer all. Young Ben Clark  moves with his parents to a new town, where he befriends his elderly magician neighbor, Milner . Ben has a natural talent for magic and wants to learn all that he can from this old man. Ben carries the same scar as the original staff-bearer 1,400 years before. Both Morgana and Milner, who is revealed to be Merlin, see this as a sign that this time, the battle between good and evil will be stronger and harder than ever. Ben must make his own choice between good and evil as he is drawn into a battle and must draw on his own spirit and magic to decide which path to follow and hence, the fate of the world as we know it."
4,Little city,"""Romantic comedy"",  ""Ensemble Film"",  ""Comedy-drama"",  ""Drama"",  ""Comedy"",  ""Romantic drama"",  ""Romance Film""","Adam, a San Francisco-based artist who works as a cab driver on the side, is having a hard time committing to his girlfriend, Nina. She wants to take their relationship to the next level, but he hasn't really gotten over his ex-girlfriend, Kate, who left him for another woman and is reluctant to move forward with Nina because he's still hanging on to the idea that one day Kate will come back to him. Feeling neglected, Nina breaks up with Adam and starts seeing Kevin, a womanizing bartender who is also Adam's best friend. Meanwhile Rebecca, the new girl in town, gets a job in Kevin's bar and begins an affair with Anne, the woman Kate left Adam for. Tired of her infidelities, Kate breaks up with Anne and returns to Adam. However she soon realises that she's not in love with him anymore and breaks up with him for good. Rebecca soon tires of Anne and breaks off their affair. One day she meets Adam, who is finally attempting to move on from Kate once and for all, and they go out on a date. Nina and Kevin's fling turns into something deeper when she finds out that she's pregnant, an event that strains Adam's friendship with Kevin and threatens to ruin his budding relationship with Rebecca before it has a chance to begin."
5,Henry V,"""Costume drama"",  ""War film"",  ""Epic"",  ""Period piece"",  ""Drama"",  ""Film adaptation""",{{Plot|dateAct 1Act 2Act 3Act 4Act 5 Finally negotiations are made for Henry to be named king of both England and France. He has a brief romantic interlude with Catherine while the French and English royal delegations negotiate the Treaty of Troyes. The Greek chorus informs the audience that an English-French union lasted as long as Henry V lived and was only lost under his successor Henry VI.
6,Aaah Belinda,"""Comedy""","Serap, a young actress with a strong, lively personality and a special dislike for middle-class family life, takes part in a TV-commercial for a recently marketed shampoo, ""Belinda"". She plays the role of a typical housewife called Naciye. During one of the rehearsals, she suddenly finds that the stage has disappeared, the crew has vanished and all the elements of the script have become real. Now she is Naciye. No one around recognizes her as Serap anymore. Even worse, her family thinks that she is suffering from depression, while Serap desperately tries to prove otherwise."
7,The Mechanical Monsters,"""Science Fiction"",  ""Adventure"",  ""Animation"",  ""Short Film"",  ""Fantasy"",  ""Family Film"",  ""Action"""," The story starts as one of the robots flies into a scientist's secret lair and unloads a pile of cash into a vault. The robot is controlled completely from the scientists command center, and we see that he is one of many robots similar to him, lined up along the walls of the lair. Next, we see the front page of the Daily Planet, reporting the ""mechanical monsters"" robbery right alongside an announcement for the display of 50&nbsp;million dollars of the world's rarest gems at the local museum.  Later, as Lois and Clark are covering the museum's exhibit for the Planet, a robot lands in the street outside. The police pelt it with machine gun fire as it marches towards the museum, but the bullets bounce harmlessly off. Museum visitors, including Clark and Lois, flee as the monster marches towards the jewels and begins loading them into an opening in its back. While Clark phones the Planet from the nearest phone booth, Lois climbs into the monster's back, just as the monster leaves the museum and takes off into the sky. Clark emerges from the booth, notices Lois gone, and says, ""This is a job for Superman!"" He goes back into the phone booth and changes his clothes, emerging in his classic red-and-blue costume. Flying high above the city, Superman spots the robot and uses his X-ray vision to see Lois inside with the jewels.  He lands on it and struggles to open the door in its back, only to have the scientist maneuver the robot upside down and throw him off into a power line, tangling him in the wires. As the robot is upside down, the door flies open and all the jewels fall out, with Lois surviving only by hanging for dear life until the robot flips back over. As Superman struggles to free himself from the wires, the robot arrives at the lair, but instead of jewels, the scientist finds Lois in its payload. Infuriated, he demands that she tell him where the jewels are. The next time we see her, she is bound and gagged on a platform held over a pot of boiling metal in part of what appears to be an industrial foundry. The scientist pulls a lever which starts some machinery gradually lowering her closer and closer to the liquid. Meanwhile, Superman frees himself from the power lines and knocks down the door to the scientist's lair, only to meet the army of robots . Under the scientist's control, the robots emit fire from nozzles positioned on the lower part of their heads, encircle Superman, and pound him with their fists. Initially, the robots seem to have the upper hand, beating Superman to the ground, but Superman defeats them, sending the scientist running. When Superman catches up with him, he is holding a knife to the rope holding Lois' platform above the molten metal, and threatens to cut it if he takes another step. Superman makes a move, the rope is cut, and Superman speeds across the room to catch Lois just in time, landing on a ledge below the pot of molten metal and the scientist. The scientist then pulls a lever to dump the hot liquid on them, but Superman shields Lois with his cape, then grabs the scientist and flies from the lair to take him and Lois back to the city. The film ends with a shot of the next issue of the Planet, describing the latest adventure -- Superman stopped the mechanical monsters, the scientist was arrested and the jewels are recovered. In the office, Clark says ""That's a wonderful story, Lois."" She replies, ""Thanks Clark, but I owe it all to Superman."" Clark smiles."
8,Mary Poppins,"""Children's/Family"",  ""Musical"",  ""Fantasy"",  ""Comedy"",  ""Drama"",  ""Family Film"",  ""Children's Fantasy""","The film opens with Mary Poppins  perched in a cloud high above London in spring 1910.""... It's grand to be an Englishman in 1910 / King Edward's on the throne; it's the age of men! ..."" George Banks' opening song 'The Life I Lead'; King Edward VII of the United Kingdom died 6 May 1910 The action descends to Earth where Bert , a Cockney jack-of-all-trades is performing as a one-man band at a park entrance. The spectators watching him include: Ms. Persimmon , Miss Lark  and Mrs. Corry . He suddenly senses that his good friend is about to return. After the show, he speaks directly to the audience, introducing viewers first to Admiral Boom, who keeps his exterior rooftop ""Ship Shape"", by firing his cannon at 8:AM and 6:PM each day, and then to the well-to-do but troubled Banks family, headed by the cold and aloof George Banks  and the loving but highly distracted suffragette Winifred Banks . The Bankses' latest nanny, Katie Nanna , is quitting, exasperated after the Banks children, Jane  and Michael , have run off for the fourth time this week. Ellen, the maid , pleads with her not to leave, but Mrs. Brill, the cook , wishes her good riddance. Mrs. Banks returns home, and engages all four women in a rousing rendition of ""Sister Suffragette"", before Katie Nanna stalks out. Mr. Banks returns home from his job at the Dawes Tomes Mousley Grubbs Fidelity Fiduciary Bank, and Mrs. Banks reveals the children are missing. A policeman , arrives with the children, who ask their father to help repair their damaged kite, but he dismisses them and advertises for an authoritarian nanny-replacement. Jane and Michael draft their own advertisement asking for a fun, kind-hearted and caring person, but Mr. Banks tears up the paper and throws it in the fireplace. Unnoticed, the remains of the note float up the dark chimney. The next day, a queue of elderly and disagreeable looking candidates await at the door. However, a strong gust of wind blows the queue away and Mary Poppins floats down, held aloft by her magical umbrella, to apply. Mr. Banks is stunned to see that this calmly defiant new nanny has responded to the children's ad despite the fact he destroyed it. Although Mary Poppins recites the ad, she also tells George that she is firm and will also lay down ground rules with the children. As he puzzles, Mary Poppins employs herself and begins work, saying that she will stay for a trial period of one week, before deciding if she will take a permanent position. The children face surprises of their own: Mary possesses a bottomless carpetbag, and makes contents of the children's nursery come to life and tidy themselves . The trio then meet Bert, who is a close friend of Mary, in the park at work as a screever, where Mary uses one of his chalk pavement drawings as a gateway to an outing in an animated countryside. While in the drawing, the children ride a merry-go-round while Mary and Bert enjoy a stroll through the countryside, during which Bert dances at an outdoor bistro with four penguin waiters. Mary and Bert join the children on the merry-go-round, from which the horses break loose and take their riders on a trip through the countryside. As they pass by a fox hunt, Bert maneuvers to save an Irish-accented fox from the bloodhounds. Finally the quartet finds themselves in a horse race, which Mary wins. It is here that Mary first employs the nonsense word ""Supercalifragilisticexpialidocious."" The outing is interrupted by a rainstorm, which washes away the chalk drawing and returns the travellers, drenched, to the park pavement. That evening, the children ask Mary how long she'll stay with them. With a somber expression, she replies, ""I shall stay until the wind changes"". The next day, they all visit Bert's jovial Uncle Albert , who floats whenever he laughs, and join him in a tea party in mid-air, though Mary finds it childish and ridiculous. They all get down, only when one had to think of ""Something Sad"", when Mary firmly says: ""It is time to go home."" Mr. Banks grows increasingly irate with his children's stories of their adventures, but Mary effortlessly inverts his attempted dismissal of her services into a plan to take his children with him to the Dawes Tomes Mousley Grubbs Fidelity Fiduciary Bank, where he is employed. On the way there, as they pass the bank, the children see ""The Bird Woman"" , of whom Mary sang to them the night before, and they want to feed the birds around her, but George will have none of it as he expresses his lack of interest in what Mary Poppins says and orders his children to ""come along"" and not mention her name for the rest of the day. Upon arriving at the bank, Mr. Dawes Jr  and Mr. Dawes Sr —Mr. Banks' employers—aggressively try to persuade Michael to invest his tuppence in the bank to the point of actually snatching it out of his hand without waiting for his permission. When Michael protests, the other customers misunderstand and start a run on the bank that forces the bank to suspend business. The Bank Guard  chases the children causing the children to flee and wander into the slums of the East End of London. Fortunately, they run into Bert, now employed as a chimney sweep. He takes them safely home, explaining that their father does not hate them, but that he has problems of his own, and that unlike the children, has no one to turn to but himself. At home, a departing Mrs. Banks employs Bert to clean the family's chimney and mind the children. Mary Poppins arrives back from her day off and warns of the dangers of this activity, but is too late as the children are both sucked up the chimney to the roof. Bert and Mary follow them and lead a tour of the rooftops of London that concludes with a joyful dance with Bert's chimney-sweep colleagues. A volley of fireworks from the Banks' eccentric neighbour, Admiral Boom , who mistakes them for Hottentots, orders Mr. Binnacle  to set off the fireworks which sends the entire gathering back down a different chimney, which turns out to be the Banks' chimney. Mr. Banks arrives home, causing the chimney sweepers to depart outside the home, and out into the street, where they disappear from view within less than half a minute. Their departure conclude the festivities. Banks angrily inquires Mary Poppins what was the meaning of this, in which Mary replies that she never explains anything. Banks then receives a phone call from work ordering him to return immediately for disciplinary action. As Mr. Banks gathers his strength, Bert points out that while Mr. Banks does need to make a living, his offspring's childhood will come and go in a blink of an eye, and he needs to be there for them while he can. The Banks children approach their father to apologize, and Michael gives Mr. Banks his tuppence in the hope that it will make things all right. Banks gently accepts the offering. A somber and thoughtful Mr. Banks walks alone through the night-time streets, for the first time noticing several of the buildings around him, including the cathedral and steps on which the bird woman was sitting earlier. At the bank, he is formally humiliated and sacked for causing the first run on the bank since 1773 . However, after being at a loss when ordered to give a statement, Mr. Banks invokes Mary Poppins' all-purpose word ""Supercalifragilisticexpialidocious!"" to tweak Mr. Dawes. He gives Dawes the tuppence, tells the old man one of Bert's and Uncle Albert's jokes, and raucously departs. Dawes mulls over the joke, finally ""gets it"" and floats up into the air, laughing. The next morning, the wind has changed direction, and so Mary must depart. Meanwhile, the Banks adults cannot find Mr. Banks, and fear that he might have become suicidal. However, Mr. Banks, now loving and joyful, reappears with the now-mended kite and cheerfully summons his children. The greatly relieved Mrs. Banks supplies a tail for the kite, using one of her suffragette ribbons. They all leave the house without a backward glance as Mary Poppins watches from a window. In the park with other kite-flyers, Mr. Banks meets Mr. Dawes Jr., now in charge of the bank, who says that his father literally died laughing. Instead of being upset, the son is delighted his father died happy and re-employs Mr. Banks to fill the opening as junior partner. Her work done, Mary Poppins takes to the air with a fond farewell from Bert , telling her not to stay away too long."
9,White on Rice,"""Romantic comedy"",  ""Romance Film"",  ""Comedy"",  ""Indie""","Jimmy ([[Hiroshi Watanabe  loves dinosaurs and sleeps on the top bunk. Unfortunately, Jimmy is 40 and shares that bunk with Bob , his 10-year-old nephew. Freshly divorced, Jimmy lives with his sister Aiko  and her family while boldly searching for a new wife. His brother in-law, Tak  thinks he’s a disaster. And although Jimmy may lack social grace, he is convinced the best years of his life are just beginning. His plan seems like it’s all falling into place when Tak’s beautiful niece Ramona  moves in. But once Jimmy sets his sights on stealing her from his best friend Tim , he sees his intentions go hilariously awry."
